gene
GNG11
BPIFA1
BPIFB2
TFF1
TFPI2
TPPP3
CXCL14
C1QB
SERPINA1
MSLN
TYROBP
KLK11
TFF3
S100A13
IFI6
BPIFB1
CXCL3
APOC3
CRABP2
TM4SF1
LCN2
TPSB2
SLC34A2
SOD3
SCGB3A2
S100P
SFTPA1
EGR1
CD68
CXCL17
CLDN7
CEACAM6
SAA1
FSTL3
MDK
PSMD1
FBP1
IFI27
AGR3
RPL35A
MT-CO3
SFTPB
PCSK1N
PTGDS
C3
SPTSSA
KRT19
IL32
HPGD
KRT7
