gene
C1QA
HLA-DQA1
TYROBP
MARCO
APOC1
FBP1
C1QB
FCER1G
ACP5
HLA-DPB1
C1QC
FTH1
HLA-DRA
HLA-DPA1
CD74
HLA-DRB1
CD68
HLA-DQB1
FTL
CTSS
CTSD
GCHFR
VIM
APOE
FABP4
JCHAIN
NUPR1
CCL18
SERPINA1
LST1
SCGB1A1
PLAUR
SFTPA2
SFTPB
B2M
SFTPA1
CD52
BPIFB2
IGHA1
TFF1
AGR3
S100A4
BPIFA1
COTL1
IGLC2
TMSB4X
OAZ1
SCGB3A1
TSPO
S100A9
