gene
BPIFB1
SERF2
BRK1
USMG5
RPL29
RPS19
ATP6V1F
SAT1
LDHB
KLF6
MT1X
HMGN1
TPT1
ATP6V1G1
SMIM22
CLDN7
SNU13
DUSP1
HNRNPA1
ELF3
CCL4
CYBA
RPL39
COX7B
PABPC1
SRP14
GNG11
AREG
SPINT2
PSAP
KRT10
IGKC
CRABP2
LCN2
JCHAIN
CAPG
RPL6
ATP5G2
IFI27
MT-ND3
GPX4
CSTB
C1QB
NDUFA11
TCEB2
SLPI
EEF2
C19orf53
RPS25
TIMP1
COX8A
ANXA1
NDUFA6
SHFM1
LY6E
RPS18
SPTSSA
HLA-DPA1
TM4SF1
PRDX1
RPS4Y1
NDUFB3
NKG7
OST4
JUN
CCL18
AGR2
ITM2B
MT-CO2
RPL10
TMSB10
EIF1
PLAUR
NAPSA
CEACAM6
RPL30
HLA-A
CD63
UQCRB
ARHGDIB
ATP6V0B
EDF1
MYEOV2
S100A8
PRDX5
SH3BGRL3
MT-CO3
HOPX
HLA-B
UQCRH
NAP1L1
ATP5G3
S100A9
POMP
MIF
TUBA1B
SOD1
COX7C
CD55
SKP1
TMEM167A
RPL10A
NDUFB4
OAZ1
NDUFB11
MT-ATP6
S100A10
C11orf31
UBB
TSPO
RPS11
MYL6
ACTG1
FTH1
NPC2
MGST3
RPL5
GRN
TFPI2
SSR4
CKLF
LAMTOR5
TPSAB1
MUC1
P4HB
MT-ND4
NFKBIA
PRDX2
RPLP0
COPE
NGFRAP1
SUB1
NACA
ATP5D
TXNDC17
RPL4
NDUFC2
S100A13
FSTL3
SOD3
IFI6
PFN1
HLA-DQA1
RNASE1
RPS14
ATOX1
DBI
PEBP1
PRDX4
GLUL
RPL38
CCL3
C16orf13
TUBB
SEC61G
MARCKSL1
NDUFA1
RPL36
PRELID1
RHOA
TMSB4X
RPS23
RPL36A
HLA-DQB1
RPL23A
RAN
LAGE3
SERPINA1
SRGN
CTSD
COX5B
YWHAB
RPS27A
SCGB1A1
RPS29
RPL32
PPIA
ATP5J
FBP1
TFF3
SELM
COX6B1
H2AFZ
S100A11
COX6C
BCAP31
RPLP1
PTGDS
NDUFS6
CXCL3
RPS16
ELOVL5
S100A4
PSMA7
MINOS1
HSP90B1
NDUFA13
KRT19
ARPC2
ENO1
C19orf70
TYROBP
PRSS23
HLA-DRB1
ARL6IP4
C9orf16
HLA-DPB1
RPL21
RPSA
RPL23
LDHA
RPS8
VAMP8
SFTPB
GAPDH
CD68
FABP5
PCSK1N
ROMO1
ISG15
NUPR1
TOMM7
COTL1
EEF1D
SUMO2
RPS6
PLA2G16
RPS12
NPM1
GPRC5A
NQO1
EIF3K
MALAT1
GPX1
LSM7
RPL8
LMAN2
HPGD
RPL13A
NENF
EEF1B2
DSTN
GCHFR
UQCR10
RPS15A
UBC
AGR3
HLA-DRA
MT-CYB
MT2A
SFTPA1
CCL5
RPL27A
EGR1
RPL27
PHLDA2
CALR
TXN
HIGD2A
KLK11
LGALS3
IGLC2
MT-ND1
ASRGL1
RPL28
APLP2
RPL35
MDK
RPL22
SNRPB
TFF1
ATP5I
RAC1
RPS17
PPP1R14B
KRT8
ATP5H
CXCL14
SLC34A2
FAU
SERP1
APOC3
SNRPE
HN1
PIGR
CHCHD10
CD52
SEPW1
RPL12
RPS24
DYNLL1
CST3
COX6A1
RPL35A
RPS5
UQCR11
HSP90AB1
RPS3A
RPS3
RHOB
RPS20
ATP5B
MT-ND2
YBX1
CD74
RPL24
RPL15
GNB2L1
C15orf48
SOX4
DDT
MRPL51
LYZ
LST1
CFL1
HMGB1
SFTA2
RPL9
AP2S1
RPS9
COX4I1
CLTA
WFDC2
CTSZ
S100A16
HINT1
CCL20
PKM
ATP5L
EPCAM
ALDOA
RPS28
BTF3
RPL7A
C1QC
LGALS1
MRPS21
KRT18
MGST1
APOC1
OCIAD2
RPS10
CLDN4
C1QA
NEAT1
MPC2
JUNB
RPL11
SFTPA2
ZFAS1
ARPC1B
NDUFB7
IGHA1
ZFP36
ACTB
PFDN2
ATPIF1
CLIC1
KRT7
RPS27L
H3F3B
ATP5G1
POLR2L
PPA1
TAGLN2
TMA7
RPS21
HSP90AA1
APOE
MZT2A
ATP6V0E1
RARRES3
ARPC3
CHCHD2
AURKAIP1
RPS15
TSPAN1
RPS13
RPLP2
SNX6
IL32
SCGB3A2
PARK7
RNF7
RPL37A
B2M
RPL34
CD69
HLA-C
HSPE1
RPL14
RPL3
TMEM59
FOS
NUCB2
RPS26
EEF1A1
BTG1
FABP4
RPL31
RPL36AL
NDUFA4
MYL12A
PPDPF
RPL19
CUTA
S100A6
MT-ND5
PTMA
COX5A
CXCL8
PPIB
SEC11C
MZT2B
ANAPC11
RPL18
RPS4X
FTL
CCL4L2
UBA52
S100P
CD9
LMNA
ACP5
GUK1
ATP5E
HIST1H4C
MYDGF
H3F3A
SFTPC
ANXA2
SEC61B
GZMB
HSPA8
RPL13
ATP5J2
FXYD3
TMEM258
RGCC
RPS7
RPL41
MARCO
IFITM3
AQP3
SLC25A6
TPPP3
ATP1B1
RPL26
UBL5
C3
FAM177A1
BPIFB2
MSLN
CTSB
BRI3
FOSB
C19orf33
AGPAT2
HSPB1
CALM1
COX7A2
NDUFC1
HES1
LTB
GNAS
TPSB2
CIB1
SNRPG
FCER1G
SSR2
CXCL2
CTSS
SFN
RPL37
RPS2
VIM
COX14
SLC25A5
CXCL17
PSMD1
SCGB3A1
NDUFB2
RPL18A
GSTP1
TPI1
MRPL41
RPS27
BPIFA1
CYSTM1
RPL7
MT-CO1
CALM2
SAA1
NDUFA2
JTB
MRPL14
PFDN5
NDUFS5
TBCA
UQCRQ
