"Gene","HR","p.value"
"C17orf44",0.692,2.61372042348656e-05
"TMPRSS2",0.852,2.63649914654843e-05
"ACSM5",0.809,2.63889201456839e-05
"CHEK1",1.343,2.72144161019903e-05
"SNAI3",0.732,2.72231665594826e-05
"ZNF441",0.656,2.81220866630536e-05
"HJURP",1.245,2.814047434638e-05
"OIP5",1.251,2.83261218748938e-05
"BZW1",1.641,2.85215296147404e-05
"ORMDL3",0.601,3.01317150938902e-05
"CD109",1.219,3.01571122891356e-05
"XCR1",0.774,3.09238382313477e-05
"LOC100303728",0.671,3.09794087823586e-05
"TNS4",1.129,3.16174555920134e-05
"TMEM194B",1.631,3.22520901335771e-05
"PSMD2",1.725,3.24826836512936e-05
"FAAH",0.731,3.30655230192443e-05
"BMP5",0.873,3.30880170263954e-05
"PPM1M",0.665,3.34343660277818e-05
"CDKN3",1.241,3.50505619666293e-05
"NEK2",1.249,3.54896010551838e-05
"AMT",0.807,3.56845123117325e-05
"DSG2",1.359,3.5764819323088e-05
"INPP5B",0.65,3.61741093322968e-05
"PAQR9",1.257,3.65422459618508e-05
"SNN",0.614,3.6997304430467e-05
"MYO6",0.662,3.72688975768057e-05
"ABCA3",0.854,3.84182822168661e-05
"NAPSA",0.911,3.85800973986232e-05
"B4GALT1",1.626,3.86798211018278e-05
"CACNA2D2",0.894,3.88876682699618e-05
"TPX2",1.24,3.97641913557751e-05
"MBL1P",0.821,4.01460262250848e-05
"ERLIN1",1.667,4.10731954736643e-05
"RAD21L1",1.47,4.1268292068338e-05
"RFXAP",0.597,4.16592943301109e-05
"PNPLA7",0.821,4.21239534290703e-05
"LYAR",1.636,4.22445322509705e-05
"SERPINB5",1.094,4.27258151659067e-05
"ITGA6",1.257,4.31137736203254e-05
"LOXL2",1.242,4.40419823791034e-05
"ATP8A2",0.841,4.45835599092151e-05
"CD302",0.757,4.53482179751652e-05
"TMEM50B",0.638,4.65704978172388e-05
"PARP15",0.817,4.68276097398098e-05
"NXNL2",1.303,4.68627290280448e-05
"SLC4A8",0.832,4.85869880713804e-05
"SLC34A2",0.882,4.94151297206518e-05
"NEIL3",1.179,5.03474323751295e-05
"LOC654342",1.335,5.12324758352894e-05
"FAIM2",0.857,5.13378101669449e-05
"PAOX",0.658,5.14690590231926e-05
"CAMK1D",0.822,5.15498164510528e-05
"TFAP2A",1.173,5.17627545806648e-05
"FOXM1",1.237,5.1778210808912e-05
"ZNF493",0.76,5.24607280189103e-05
"ADM",1.226,5.30268130196512e-05
"ABCC2",1.095,5.30676033782664e-05
"ACSS1",0.795,5.3708887346949e-05
"CDC25C",1.246,5.41002784231945e-05
"CDH26",0.868,5.419982362837e-05
"HLF",0.868,5.45804147578088e-05
"C6orf218",1.259,5.4599332750895e-05
"STAP1",0.832,5.4842504992757e-05
"AHSA1",1.908,5.71522089398835e-05
"GPR98",0.873,5.79761336462709e-05
"MS4A1",0.883,5.79933217691037e-05
"WDHD1",1.335,5.81768659068418e-05
"MGAT5B",1.158,5.84382467785969e-05
"FAM125B",0.727,5.85757048211064e-05
"KIF18A",1.342,5.91434878406362e-05
"GRIA1",0.86,6.1973852357471e-05
"CD40LG",0.817,6.2140120381912e-05
"FAM76A",0.548,6.2444563131092e-05
"SNX30",0.773,6.6213093929238e-05
"ZNF253",0.679,6.6365873742228e-05
"E2F7",1.22,6.72153001293086e-05
"LRRC66",1.155,6.76252822267178e-05
"PPP1R3G",1.246,7.01071455197039e-05
"SPC25",1.26,7.05881975405636e-05
"BEND5",0.815,7.08391342948619e-05
"VIPR1",0.831,7.09453107281246e-05
"CHADL",0.78,7.15251934291735e-05
"CAPN3",0.825,7.16713089741629e-05
"ARRB2",0.628,7.18851813597191e-05
"KIF4B",1.305,7.19851753863351e-05
"ZC3H12D",0.778,7.26618396034294e-05
"AVEN",1.56,7.38158676452474e-05
"EXPH5",0.734,7.48258225032923e-05
"TMEM25",0.737,7.5260978289384e-05
"OPN3",1.236,7.53964994896786e-05
"LDB1",0.559,7.63263077755084e-05
"KIF20A",1.289,7.6757484391813e-05
"CKAP2L",1.238,7.74603823453577e-05
"CDCA5",1.266,7.76525124637889e-05
"FAM72A",1.241,7.77661694059924e-05
"SHCBP1",1.296,7.80342552599018e-05
"INSL4",1.087,7.80862641267077e-05
"FAM72B",1.238,7.86529795402303e-05
"F2",1.126,8.00229571462559e-05
"KYNU",1.166,8.02700415456943e-05
"KIAA1609",1.524,8.05156404322218e-05
"GPR78",1.236,8.47164679800733e-05
"LRP2BP",0.753,8.47610429163407e-05
"RBP5",0.776,8.49510812824406e-05
"ZNF512",0.621,8.56119344878085e-05
"C16orf89",0.908,8.6002428175985e-05
"LAMC2",1.205,8.68217389613733e-05
"FBP1",0.781,8.71896266346233e-05
"HSPA4",1.956,8.77411605739089e-05
"DPYSL2",0.753,8.80083123299445e-05
"ZNF563",0.687,8.82446284273224e-05
"ELF5",0.888,8.84309212083815e-05
"EHBP1",1.515,8.99631842184562e-05
"ZNF589",0.685,9.11295878230755e-05
"RPE",1.72,9.19590775729607e-05
"RHOF",1.272,9.20798732011639e-05
"CASC5",1.233,9.23668651503783e-05
"FCRL1",0.853,9.40172279630806e-05
"TNPO1",1.852,9.44471322485192e-05
"FETUB",1.202,9.47396505630054e-05
"C1orf210",0.739,9.5420970363011e-05
"DEPDC1B",1.222,9.76166240084085e-05
"PHF1",0.543,9.76215315128031e-05
"SGOL2",1.348,9.86894275344673e-05
"TMEM130",0.869,9.89753382342785e-05
"BEX5",0.843,0.000100149373991993
"ERO1LB",0.816,0.000100268201493102
"KIF4A",1.222,0.000100385419685982
"C20orf197",0.854,0.000100778861980371
"SGOL1",1.236,0.000101188910682321
"P2RX1",0.809,0.000101241046773592
"KPNA2",1.366,0.0001015513509854
"JMJD7.PLA2G4B",0.711,0.000101868219660685
"SRGAP1",1.34,0.000104853801783179
"ZNF266",0.666,0.000105065383548045
"GPR172B",0.84,0.000105100803552825
"VANGL1",1.57,0.000105869521251438
"PEBP1",0.608,0.000105930808195918
"TMEM170B",0.717,0.000106145058753642
"MOAP1",0.618,0.000106235057493322
"IRX2",0.898,0.000106636694637974
"CCR2",0.819,0.00010670785772932
"RAD23B",1.916,0.000108027897189899
"CD200R1",0.795,0.000108059075274238
"CLEC12B",0.773,0.000108532900005941
"KLRB1",0.812,0.000109625407888306
"RPS6KL1",0.791,0.000110528619503221
"B3GALT2",0.837,0.000110901351917656
"ZNF254",0.723,0.00011098937259383
"RGN",0.842,0.000111098620917277
"AKAP12",1.184,0.0001119998360997
"ADIPOR2",1.619,0.000112239875042435
"SEC61G",1.471,0.000112281694776315
"LMO3",0.891,0.000113441680627261
"KIAA1324",0.888,0.000115391026868134
"DTL",1.309,0.000116164096584057
"MTL5",1.171,0.000117396526725217
"GREB1L",1.145,0.000117758188671449
"KCNF1",1.153,0.000117797551951731
"KIF23",1.241,0.000117902352596427
"CDCA2",1.242,0.000118059224011785
"C12orf76",0.676,0.000118180420773345
"ZMYM6",0.504,0.00011829325380672
"NSUN7",0.777,0.000118400541935877
"ZNF136",0.631,0.000118746383666947
"MARCH4",1.17,0.000119240975127902
"C9orf30",1.623,0.000119679409478114
"DSG3",1.11,0.000120057297764504
