"Gene","HR","p.value"
"MYOC",0.872,0.019805860833636
"CIB2",1.146,0.0198204967828824
"C7orf11",1.339,0.0198319137942654
"PRKAG2",0.71,0.0198320466581997
"TRHR",1.416,0.0198430204974402
"PTPN7",0.867,0.0198466147277057
"SLC43A2",0.776,0.0198620444081281
"RPL23AP53",0.77,0.0198810152408126
"ASTL",0.803,0.0199082678739014
"MDH2",1.358,0.0199380009512393
"MAP3K1",0.765,0.0199391972073874
"AP1M2",0.772,0.0199465218379389
"TPSB2",0.915,0.0199562953128904
"SLC6A4",0.923,0.0199626421528103
"SLC22A25",1.325,0.0199731818628873
"RAPGEF3",0.853,0.0199819087442668
"PTPRCAP",0.878,0.0200869814263765
"PGD",1.178,0.02017935278004
"IFT57",0.859,0.0201893718374591
"DPP4",0.921,0.0202027881569165
"FNBP4",0.764,0.0202150059745617
"NXF1",0.718,0.020215066460056
"MRPL12",1.258,0.0202624625982854
"C9orf93",0.818,0.0202640745779419
"POTEF",1.111,0.0202910565937589
"HSD17B3",0.867,0.0202921535993259
"SIGLEC8",0.899,0.0202950437436663
"BHLHB9",0.777,0.0202971017426416
"KBTBD3",0.783,0.0203169169424174
"HIST1H2BK",1.165,0.0203312734694152
"ACTB",1.414,0.0203413866157789
"RPS10P7",0.771,0.0203535684712511
"CCDC152",0.861,0.0203583243009376
"MYEOV",1.06,0.0203642986930309
"ABCC4",0.866,0.0203847249611042
"MARK2",1.453,0.0204204566418351
"GPBP1L1",0.598,0.0204275183545444
"FANCC",1.327,0.0204280907833004
"KIAA0922",0.814,0.0204423688514662
"PTPRN",1.065,0.0204709600283735
"RPSAP52",1.097,0.0204768268737242
"DCUN1D5",1.302,0.0204802355839347
"HIST1H1E",1.138,0.0204862411564789
"CNTD1",0.835,0.0205003035125009
"LDLRAP1",0.769,0.0205163498890349
"PRINS",0.87,0.0205379643733106
"FAM55C",0.816,0.0205433738531813
"LIPT1",0.715,0.0206057581143266
"MAOA",0.897,0.020623384197444
"C6orf145",0.818,0.0206388981979547
"MAPK8IP1",0.858,0.0206719649293606
"SR140",1.405,0.0206750084863578
"ZNF582",0.836,0.0206810586684268
"EN1",1.146,0.020712627661963
"EPX",0.784,0.0207235125829287
"SUSD4",0.91,0.0207464514720799
"KCTD12",0.863,0.0207505312932647
"ZNF546",0.796,0.0207626712094715
"NUP107",1.257,0.0207707334656563
"MYL5",0.829,0.0207730744145957
"LRRC52",0.894,0.0207766782378411
"C1orf228",0.878,0.020779823465268
"CRYM",0.94,0.0207799310832818
"ACAT2",1.249,0.0207896736398662
"AIMP2",1.303,0.020792841662056
"NFKB2",1.301,0.0208375797278643
"SEMA6D",0.888,0.0208396503104378
"IFT52",0.718,0.0208436373389778
"CEBPB",1.243,0.0208507599791633
"SFRS1",1.775,0.0208512746540863
"VWCE",0.863,0.0208672143453388
"UGT2B10",1.207,0.0208941494772105
"ACTR1B",0.692,0.0209055093928692
"WDR75",1.476,0.0209267741844402
"NEFL",1.072,0.0209362979060697
"MYOM2",0.886,0.0209494465775085
"ARMC9",0.824,0.0209675592935581
"SEMA6C",0.859,0.021011926497977
"PWP1",1.481,0.0210270435884349
"TUBA4A",1.215,0.021030731539272
"ORC2L",1.466,0.0210321908977733
"ELOVL2",1.12,0.021042477098619
"L3MBTL3",1.249,0.0210472449652235
"X..388795",0.83,0.0210548363714699
"HSD17B7",0.774,0.0210875305059829
"AGAP6",0.847,0.0211116653970604
"C1orf38",0.845,0.0211126467029037
"TSHR",0.887,0.0211240069750809
"LAT",0.854,0.0211325931368319
"CYTH4",0.86,0.0211507070785316
"LSM5",1.317,0.0211566201838603
"YIPF7",1.553,0.0211897514003862
"ANXA2P3",1.111,0.0212272536245652
"FAM26D",1.389,0.0212386741062855
"RAB11FIP1",0.83,0.0212474872790306
"MEF2C",0.846,0.0212561794487437
"SHOX2",1.092,0.0212960809902607
"ENO1",1.342,0.0213140490776484
"ID2",0.831,0.0213144045068557
"LOC349196",0.87,0.0213424516935004
"DDX24",0.682,0.0213443442428583
"C12orf70",1.152,0.021370107827245
"TMX4",0.818,0.0213879196067136
"FAM25B",1.258,0.0214081281965023
"PTH1R",0.887,0.0214144252475077
"TXNDC5",0.765,0.0214166676618348
"RNF138P1",0.784,0.0214744654290026
"PABPC1P2",1.252,0.0215040751583601
"TREM2",0.885,0.0215111767337425
"SYT16",1.118,0.0215165619882125
"STK19",0.712,0.0215290380047391
"C11orf20",1.16,0.0215423715301564
"CISD2",1.371,0.0215430101772804
"MON1A",0.726,0.0215507189843866
"DNAJC22",1.099,0.0215576241268036
"LRP11",1.278,0.0215678330101402
"CEACAM19",1.137,0.0215716937995637
"RBM34",1.45,0.0215784484356703
"FAM196A",1.104,0.0215813669217039
"KIR3DL2",0.897,0.021597915243148
"DYDC2",0.917,0.0216038812299361
"LRRN4",0.933,0.021621951613075
"CCDC130",0.772,0.0216461125016327
"MUC2",1.068,0.0216893957292303
"REM1",0.858,0.0217564707149245
"RTN4RL1",0.918,0.0217748679548508
"SACS",1.247,0.02181862626241
"CBFA2T2",0.769,0.0218897598623907
"FAM73B",0.79,0.0218987269200224
"TMEM55B",0.679,0.0218997749590538
"PLA2G15",0.756,0.0219029741242325
"FLJ41941",0.861,0.0219177170273563
"CD81",0.784,0.0219308820230743
"LOC619207",0.898,0.0219309833455193
"PARD3B",0.885,0.0219595510327115
"IL3RA",0.838,0.0219683061416879
"RNPC3",0.807,0.0219753808712631
"SLC38A3",0.912,0.0219773772437169
"MNDA",0.89,0.0219999783499168
"CA11",0.867,0.0220125666874478
"LOC100131551",1.102,0.0220262904705454
"HABP4",0.752,0.0220524191278064
"CNGB1",0.914,0.0220561402290729
"ACP5",0.845,0.0220627776991442
"SMG7",1.496,0.0220637003063289
"PLCH1",0.882,0.0220637971397587
"ADAM21P1",1.19,0.0220796151922448
"FLJ22536",1.114,0.0220818882260897
"WAS",0.863,0.0220888802005666
"FGF10",0.771,0.0220992132814598
"NFKBIL2",1.173,0.0221000966689136
"BMF",0.815,0.0221040923836928
"ASAP2",1.158,0.0221068240807323
"RBM39",0.677,0.0221363152129804
"RUNX1",0.783,0.0221985399725665
"ABCA12",1.068,0.0222048041648393
"LOC283856",0.766,0.0222322533756617
"CRTAM",0.883,0.0222642960651452
"RNF185",0.627,0.0222887005139148
"ZNF276",0.8,0.0222981516669999
"CARD8",0.751,0.0223193705561275
"DNAH12",0.927,0.0223695304755213
"ERVFRDE1",0.857,0.022379222155549
"MTERFD3",0.78,0.0223799589876172
"FAM174B",0.854,0.022402284522456
"CD247",0.872,0.0224135476274658
"CCDC58",1.242,0.0224177045581192
"KLHL10",0.761,0.0224181155688203
"SOCS6",1.361,0.0224205883116099
"SLC6A8",1.134,0.0224374921997318
"C11orf36",1.216,0.022493603074609
"FAM176A",0.887,0.0225031756283422
"LOC92973",0.885,0.0225258485175432
"GPR120",0.899,0.0225269797234887
"GDF10",0.92,0.0225459273677416
"CACNG7",1.284,0.0225980104725343
"TMEM215",0.901,0.0226034476589607
"LRRC43",0.899,0.0226123416647253
"RBM8A",1.45,0.0226686757671532
"SLC1A4",0.842,0.0226689705026279
"PRKACA",0.649,0.0226749466752489
"TAP2",1.217,0.0226768068230093
"DDX26B",0.834,0.0227137469934226
"PLEKHG1",0.824,0.0227140198069736
"CALHM1",0.817,0.0227306012051448
"TTC25",0.888,0.0227332429897099
"ZNF488",1.095,0.0227437927433963
"SCAND2",0.736,0.0227478710542901
"MT1A",1.083,0.022766525564689
"AGAP11",0.879,0.0227675098891366
"ANO1",1.127,0.0227801338114347
"PIGA",0.791,0.0227872529203248
"ZSWIM5",0.861,0.0227885911986537
"HYLS1",1.265,0.0227939899907298
"NIPAL3",0.794,0.022803545530249
"RAB3B",1.081,0.0228357678075701
"ST8SIA5",0.869,0.0228397885804287
"GRPEL1",1.373,0.022841820594137
"FYN",0.832,0.0228691624491442
"ABHD6",0.794,0.0228872056080444
"ASAM",1.11,0.0229288627973901
"C15orf63",1.296,0.0229359790386653
"YY1",1.507,0.0229453869873057
"PLP2",1.227,0.0229491743081353
"SCN10A",0.627,0.0229545896548877
"KIAA1407",0.827,0.0229583710024174
"ID1",1.12,0.0229647659213483
"FLJ37307",0.826,0.0229660877248
"TBC1D25",0.739,0.0229679153004144
"CORO7",0.794,0.0229842750116239
"GMPPB",0.702,0.0230044726573088
"CDK3",0.853,0.023033475230934
"ASCL2",0.895,0.0230459105214867
"TBCC",0.715,0.0230589873220117
"ACHE",0.919,0.0230697201855571
"COL6A4P2",0.882,0.0230752223171115
"F10",0.88,0.023120714991705
"FASTKD3",0.751,0.0231623234658733
"FGF18",0.905,0.0231654186666659
"OCLN",0.862,0.0231714343746299
"CXorf61",1.051,0.0231771915406124
"LHX5",1.122,0.0232024008956871
"PKNOX2",0.894,0.0232053508651645
"C2orf42",0.599,0.0232067804298281
"PRDXDD1P",0.822,0.0232616818253674
"ODZ3",1.111,0.0232756532431268
"LY86",0.884,0.0232856381161339
"C8orf46",0.895,0.0233123670841278
"SFRP5",0.925,0.0233295037602707
"PADI6",0.58,0.0233323853132427
"CYB5RL",0.791,0.0233328587414012
"COX16",1.384,0.0233528571081906
"MUC16",1.051,0.0233528608948388
"MXD1",1.222,0.0233749417357738
"SNHG9",0.873,0.0233815840354368
"PFN1",1.435,0.0233871737800603
"C8orf84",0.879,0.0234024746089774
"GIGYF1",0.819,0.0234109609756395
"RIBC1",0.877,0.0234155399304884
"GRIN2B",1.193,0.0234285448735821
"LOC100270746",0.835,0.0234566727919173
"AQP6",0.914,0.0234603984717612
"ZNF572",0.856,0.0235176030303587
"RALB",1.292,0.0235308236837248
"LOC401431",0.854,0.0235340711225794
"RTCD1",1.428,0.0235382274222481
"SERPINB3",1.045,0.023545417782772
"NME4",1.241,0.0235717147129519
"MSLNL",1.087,0.0235732705416484
"TANC1",0.766,0.0236658742953939
"USHBP1",0.846,0.0236892401696879
"ZNF674",0.71,0.0236929530458842
"C1QTNF3",0.879,0.0237247321447618
"CLK1",0.797,0.0237382497978051
"ERMN",0.877,0.0237879975802624
"BANF1",1.315,0.0237880160639036
"WARS2",1.385,0.0237937671699295
"MAMDC2",0.925,0.0238011390791582
"ZNF37B",0.831,0.0238015485074373
"HCG27",0.874,0.0238016864450701
"PSORS1C1",1.11,0.0238193281547962
"RELB",1.253,0.0238398757679137
"ERCC1",1.343,0.0238605731434338
"LARP1",1.349,0.0239186326163773
"MAP2K3",1.35,0.0239499039063554
"IGF2BP2",1.117,0.0239569341501554
"TXNDC3",0.848,0.0239612873987052
"MRPS24",1.273,0.0240122455094213
"PREPL",0.74,0.0240314718503626
"SESN3",0.883,0.0240350497671032
"RAB36",0.873,0.0240550971879291
"PTCRA",0.873,0.0240983595108425
"NAA16",0.74,0.0241214757056832
"MUC21",0.951,0.0241487409544357
"KIAA0895L",0.85,0.0241513380678715
"UMPS",1.401,0.0241611978806997
"GNG12",1.227,0.0241709969807424
"C2orf40",0.93,0.0241995166614263
"ANGPTL7",0.866,0.0242000966210213
"FAM83H",1.215,0.0242004528204898
"ZNF541",0.886,0.0242889900776912
"GOSR1",1.558,0.0243000285900451
"ATP8B4",0.868,0.0243030253963245
"TTBK2",0.838,0.0243063483371944
"TSKU",1.153,0.0243130236592065
"KIAA0114",0.826,0.0243209816528499
"RBM15",1.503,0.0243303562885336
"TNFSF8",0.886,0.0243681824537875
"ENO3",0.921,0.0244022646915303
"NCKAP5L",0.786,0.0244172580272667
"NIPA1",1.344,0.0244483371453168
"CRYGN",0.91,0.0244722876005542
"MRPS12",1.236,0.0245550743270149
"PLD3",0.817,0.0245708355427939
"HNRNPD",1.493,0.0245735659918077
"NBPF3",0.831,0.0245785270573474
"ANKRD23",0.849,0.0246189171727351
"CD3E",0.878,0.0246378845224329
"PSPH",1.183,0.0246466377919493
"CYP2A13",0.881,0.0246509370645236
"AGAP4",0.832,0.0246660259701779
"YPEL2",0.749,0.0246798653450075
"MFSD5",1.536,0.024683939200971
"SLC6A15",1.07,0.0246865380958077
"KIAA1683",0.893,0.0246956219679043
"WSB2",1.339,0.024706072261871
"SERPINB4",1.055,0.0247335930599053
"SLC25A35",0.813,0.0247390448548778
"C6orf64",0.701,0.0247503458691269
"TMEM86A",0.828,0.0247543620307153
"CD3EAP",1.328,0.0247676027898621
"ERGIC2",1.325,0.0247818663674658
"C3orf47",0.86,0.0247825919330739
"C1orf200",0.808,0.0247912451065778
"CELF6",0.88,0.0247913426525421
"REXO4",1.53,0.0248443731781634
"CROCC",0.835,0.0248488496085264
"ECT2L",0.906,0.0248531688363671
"TAS1R2",0.398,0.0248566142678324
"EML4",0.784,0.0248779282674614
"RAB17",0.846,0.0248886399336072
"ADH7",0.922,0.0249090276324241
"USE1",0.746,0.0249762075163147
"TK2",0.789,0.0249827434250409
"ACAP3",0.821,0.0249829098588324
"FAM71E1",0.851,0.0249877778772066
"CD1A",0.938,0.0249917575739683
"RBM42",1.297,0.0250070742783209
"KIAA0802",1.115,0.0250137032416075
"HELQ",0.676,0.0250239345460047
"AQP5",0.954,0.0250239867204519
"LOC641367",0.796,0.0250354388218187
"SNED1",0.855,0.0250365171994942
"ARL17B",0.837,0.0250484580632955
"ETF1",1.469,0.0250723108836124
"NDUFS2",1.426,0.0250741510185393
"SYNCRIP",1.515,0.0250992082820167
"BCL2L13",1.443,0.0251125789114211
"HYI",0.811,0.0251395794267042
"C19orf21",1.138,0.0251663839201685
"NTRK1",0.875,0.025177551274401
"IL17REL",0.903,0.0251787832449795
"C14orf166",1.373,0.0252023616537834
"CLEC4A",0.88,0.0252048431393844
"SPARCL1",0.87,0.0252238677247124
"IGSF6",0.886,0.0252263773385315
"ABHD4",1.27,0.0252415075048895
"C8orf42",0.86,0.0252515654004325
"CR1",0.904,0.0252531008528755
"C19orf61",1.42,0.0252568327331704
"PADI1",1.06,0.0252608480246608
"AKAP8",0.66,0.0252619372721631
"STAG3L1",0.886,0.0252938568330265
"TUBB3",1.115,0.0252955361326325
"C2orf78",1.698,0.0252975336502806
"RXFP2",0.63,0.0253408064660085
"CLEC1A",0.838,0.0253432473489514
"ZC3H7A",0.688,0.0253448952684994
"CHDH",0.87,0.0253635685328577
"ARNTL",0.798,0.0253827818517604
"HLA.DQA2",0.917,0.0254107815729487
"IER3",1.15,0.0254221403265931
"LOC221442",0.894,0.0254314195549942
"SHE",0.907,0.0254387018358145
"PPIAL4G",1.262,0.0254407550024493
"FAM8A1",0.751,0.0254943037364656
"NTRK2",0.914,0.0255051599269923
"LONRF2",0.923,0.0255273070179153
"SDR42E1",0.901,0.0255346099271786
"UTS2D",0.832,0.0255617041980212
"CHD6",0.807,0.0255660972581806
"ANGEL1",0.75,0.0255963075995463
"PAK3",0.926,0.0256126796082346
"NIPA2",1.448,0.0256210388760988
"ZCCHC24",0.806,0.0256357127697469
"CCDC81",0.886,0.0256533908818998
"ENAM",0.929,0.0256713315694771
"P4HTM",0.777,0.0256765599149672
"CCDC17",0.918,0.025682885294682
"FOLR2",0.9,0.0256959735466639
"LST1",0.883,0.0256968197982047
"C17orf28",0.836,0.0257370262752117
"C13orf30",0.939,0.0257735648270878
"PDE8B",0.88,0.025780788236612
"CAV2",1.143,0.0257905773149124
"MRPL10",1.459,0.0257914428240425
"FOXN3",0.782,0.0258129728912924
"ATOH8",0.923,0.0258189707825444
"ROS1",0.938,0.0258313491019104
"ZNF83",0.809,0.0258374717846747
"PPM1K",0.821,0.0258491975876626
"MCCC1",0.81,0.0258698387715529
"ATG10",1.31,0.0258709162595846
"ST3GAL3",0.799,0.0258906585673979
"VPS13C",0.787,0.0259053584829995
"IFNAR2",0.794,0.025915076811538
"ITGAX",0.879,0.0259553551251226
"FAT1",1.161,0.0259982834136723
"FAM53B",0.788,0.0259983652775042
"TRAF7",1.416,0.0260050708987807
"LEO1",1.435,0.0260249242851639
"GIPR",0.9,0.0260314120008261
"RAPGEF4",0.852,0.026038033568777
"CHD1L",1.316,0.0260501936148276
"MAP1LC3C",0.915,0.0260651191127998
"GP9",0.8,0.0260686067174056
"SNAI1",1.147,0.0260919733733942
"C9orf9",0.84,0.0261203708985263
"LOC729799",0.829,0.0261217380024916
"ACSL6",0.894,0.0261540786051544
"ZNF611",0.77,0.0261689932337522
"RGL3",0.878,0.0261830221915559
"LOC728323",0.836,0.0262332192235414
"LRIG3",0.878,0.0262477457682058
"GRM1",1.157,0.026268567666961
"B3GALNT1",1.164,0.0262687502288573
"ITPKA",1.068,0.0262715548246843
"ZSWIM7",0.769,0.0262822120662537
"GCKR",1.096,0.0262852755043496
"TTLL9",0.888,0.0262916907847149
"C7orf30",1.371,0.0262939745234659
"ZNF208",0.91,0.0262974331741909
"DENND3",0.802,0.0263270614221231
"ZNF486",0.914,0.0263401341191482
"PEG3AS",0.687,0.0263432329117241
"ARSI",1.158,0.0263657313056958
"ACOT7",1.243,0.026368876717915
"FAM129A",0.869,0.0264120481852559
"NCF4",0.868,0.0265009002566644
"NAF1",1.485,0.0265012734721309
"ACOX2",0.891,0.0265076024899647
"FGR",0.872,0.0265306175795836
"KPNB1",1.376,0.0265327256785519
"TMEM90A",0.908,0.026556511630268
"CNTNAP2",1.065,0.0265856779611696
"SIX1",0.916,0.026598658187019
"HIST1H2BD",1.15,0.0266001453425883
"CCK",1.088,0.0266010338374563
"PDE4C",0.907,0.0266205708706256
"ITGA8",0.927,0.0266236890187289
"LY75",0.869,0.0266356282433985
"TWISTNB",1.327,0.0266387741616758
"ETV1",0.888,0.0266472393885187
"FHAD1",0.909,0.0266932884303134
"CCDC85B",1.199,0.026713801271578
"C11orf41",1.099,0.0267352468735238
"KARS",1.43,0.0268232062570218
"C1QBP",1.25,0.0268263250113424
"TEKT3",0.888,0.0268277102832279
"CPLX2",1.042,0.0268346039867405
"KCNAB2",0.858,0.0268377639948678
"CYP2F1",0.928,0.0268461115982592
"CD4",0.868,0.0268718058672222
"CD300LG",0.912,0.0268787691186373
"WDR59",0.728,0.0268982538367297
"CABIN1",0.781,0.0269330817196024
"CEBPA",0.89,0.0269904987100136
"IPO9",1.413,0.0269943108135465
"MAPT",0.898,0.0270030616277528
"MAP9",0.841,0.0270080260944635
"FCN1",0.909,0.0270118553781045
"FAM91A1",1.34,0.0270128563714455
"CA10",0.941,0.0270301381859893
"CTPS",1.242,0.0270390953551318
"GPR112",0.682,0.0270694338057102
"C22orf34",0.884,0.0270829272603494
"FAM126B",0.726,0.0271030064780357
"TRIM50",0.88,0.0271223953310614
"HAS2AS",1.151,0.0271399524300924
"RGPD5",0.891,0.027159304125619
"REC8",0.897,0.027162116020463
"PHKA1",1.225,0.0271704262327543
"RNF4",1.531,0.0271721287034088
"ACSM3",0.9,0.0272122951020953
"RUVBL1",1.304,0.0272161411074049
"PES1",1.407,0.0272259375541912
"C14orf80",1.191,0.0272774908825109
"MST1P9",0.932,0.0272788422346819
"NAGK",0.717,0.027292582865283
"NXPH3",0.872,0.0273247075064185
"AGXT2L2",0.793,0.0273316367512966
"UAP1",1.324,0.0273534832784463
"DARC",0.928,0.0273635804970428
"WDR5B",0.735,0.0273778547938484
"SCGB1A1",0.962,0.0273980052878331
"RAB11A",1.404,0.0274092371531299
"CKAP2",1.224,0.0274155478872464
"SFRS2B",0.711,0.0274356910519073
"PTPRR",1.099,0.0274454142871164
"ZDHHC2",0.852,0.0274618524861487
"HMGB4",0.466,0.0274682197985984
"C2orf47",1.387,0.02747811003221
"WDR6",0.758,0.027491026988655
"PNOC",0.907,0.0274959697015074
"FIGNL2",0.901,0.0275523627747034
"FNDC3B",1.294,0.0275565674474827
"TFAP2E",0.876,0.0275823600201765
"UBC",1.471,0.0275969011356563
"KLF4",1.133,0.0276036010329681
"CKS2",1.162,0.0276294791687433
"TMEM85",1.371,0.0276296540643197
"NOTUM",0.933,0.0276336478280397
"GPR17",0.879,0.0276987850669497
"FAM104B",0.769,0.0277070860110253
"FAM21B",0.737,0.0277095737717344
"PDZD9",0.763,0.0277324798837121
"IGFBP3",1.123,0.0277482900057009
"C1orf116",0.918,0.0278061304443993
"CPA1",0.743,0.0278101173653801
"CD99",1.226,0.0278108378205133
"SLAMF9",1.102,0.0278311590473185
"CDK15",0.857,0.0278375032495585
"PPP1R1B",0.946,0.0278397093104595
"TMEM189",1.343,0.0278903494421436
"ACPP",0.861,0.0278921203419162
"ZNF24",0.727,0.0279762563041616
"MCOLN1",0.739,0.0279778807892541
"NHSL2",0.877,0.0280278878314755
"SLC8A3",0.886,0.0280458815180294
"SLC44A4",0.92,0.0280619685749713
"PLTP",0.867,0.0280840824060456
"CENPL",1.236,0.0280952099595684
"LOC651250",0.805,0.028096951698964
"MOGAT2",0.795,0.0281189230304482
"PVALB",0.892,0.0281254139177816
"PPIAL4C",1.24,0.0281396614107563
"SPRY1",0.822,0.028145019265341
"JHDM1D",0.76,0.0281461924732842
"SPOCK2",0.872,0.0281556020113889
"SLC25A36",0.738,0.028165479940743
"KIAA1147",0.785,0.0281685006879017
"PPIP5K1",0.794,0.0281709688482074
"HIBADH",1.323,0.0281730650907007
"C21orf2",0.802,0.0281927138441827
"GGTA1",0.878,0.028202704190489
"CLIC1",1.338,0.0282033219249744
"ZNF181",0.739,0.0282121751102894
"KRT1",0.898,0.028274712959137
"COL27A1",0.903,0.0282771175386275
"LOC440957",0.814,0.0282776808330219
"LOC647946",1.103,0.0282789552807494
"COL4A1",1.173,0.0282865296974276
"STK3",1.368,0.0283017948331618
"PGM1",1.311,0.0283102718726395
"GRID2IP",0.869,0.0283157636977341
"SEC23A",1.224,0.0283241192001973
"UBE2F",1.392,0.0283247612769022
"LOC100216545",0.841,0.0283258073280626
"TAX1BP3",1.324,0.0283282354612054
"SYMPK",1.31,0.0283309866817312
"A2ML1",1.067,0.0283774967103286
"CDK2",1.276,0.0284893280426847
"NAALAD2",0.86,0.0285042446668634
"FIGN",1.132,0.0285359341885547
"ZNF833",0.82,0.0285411493944769
"GLT25D1",1.279,0.0285500630770526
"CYB5R1",0.789,0.0285863666530108
"LRRC37A2",0.846,0.0286010782906292
"FAM104A",1.538,0.0286179098903996
"IL12RB1",0.88,0.0286253695795567
"TGM5",1.098,0.0286284886172572
"CDC37L1",0.721,0.028647161214939
"CCL3L1",0.907,0.028654265335386
"PLEKHF1",0.837,0.0287851400735699
"HNRNPL",1.755,0.0287860726611701
"C6orf1",0.822,0.0288048489791319
"NCCRP1",1.067,0.0288457049688535
"ADRA2A",0.922,0.028847647783757
"PDCD4",0.769,0.0288692952235556
"TTYH2",0.87,0.0288761948626155
"RIMS3",0.868,0.0288836602148181
"LSP1",0.866,0.0289105495809345
"CD53",0.874,0.0289155089073931
"C12orf62",0.763,0.0289274759474984
"ELFN1",1.171,0.0289878090322494
"CD84",0.902,0.0290196099907239
"ZDHHC1",0.816,0.0290201761873363
"DUOX1",0.925,0.0290292562543333
"LLGL2",0.826,0.029034622955135
"TSGA10",0.846,0.0290492539287936
"C2orf81",0.859,0.029063859066101
"RAD54L",1.12,0.0290689085476575
"NFATC1",0.85,0.0290766324411051
"MRPL37",1.383,0.0290783747547515
"AKAP6",0.872,0.0290850694919002
"FCRL4",0.902,0.0290872339493103
"OSBPL10",1.252,0.0291087786669289
"GNAI1",1.166,0.0291308541243969
"GOLGA6L10",0.867,0.0291655046446575
"RGS9",0.884,0.0291697665360646
"ARHGEF17",0.814,0.0291905033459081
"HPSE",1.172,0.0292166630937017
"KLK12",0.953,0.0292244688886485
"ZMYND10",0.927,0.0292388586510781
"ZNF764",0.69,0.0292431908493849
"HMCN1",0.894,0.0292615245356358
"IL34",0.889,0.0293023902685473
"WASF1",1.162,0.0293271538313439
"APOB",1.084,0.0293396320288496
"SNX9",1.323,0.0293616012309736
"POSTN",1.12,0.0293653783348771
"CCDC114",0.911,0.0293803140632567
"HDGF",1.317,0.0294064877256272
"KNG1",1.085,0.0294092060417434
"C6orf176",1.047,0.0294126071566649
"PLXNA2",0.881,0.0294137740934088
"KLHL24",0.76,0.0294229800602213
"CD80",0.889,0.0294360260374873
"LOC644165",0.901,0.0294457568318577
"MKI67IP",1.309,0.0294574552670877
"RAB37",0.889,0.0294825813622052
"BEND6",1.111,0.0294860773353132
"GYS2",1.146,0.0294951246341575
"DPYS",0.882,0.0294985252159962
"ARL4D",1.152,0.0295073473644339
"TLR9",0.875,0.0295095273146426
"PLEKHM1",0.774,0.0295715174987205
"TRIM27",0.687,0.0295894103565584
"C13orf27",1.204,0.0296054404319802
"LAMP3",0.906,0.0296141736125198
"FHL5",0.901,0.0296462647415569
"MECOM",0.886,0.0296972043327554
"ALCAM",0.851,0.0297672794545777
"LRP10",1.291,0.0297795898398821
"RASGEF1B",0.833,0.0298080379149522
"ASPDH",0.772,0.0298202111293419
"FOXG1",1.081,0.0298369683883406
"GSTA2",0.943,0.0298536644192347
"DDX5",0.629,0.0298653027336431
"DHX36",1.399,0.0298666539658968
"PPP1R12B",0.857,0.029927152446465
"CNFN",0.892,0.0299473113869948
"MET",1.094,0.0299606539233445
"ADAMTSL5",1.111,0.0299692702885562
"HNMT",0.85,0.029988109346427
"SFTPA2",0.958,0.0299886054153129
"TCTE1",0.909,0.0300335001777952
"CXorf40A",0.712,0.030089874252293
"LYPD5",1.113,0.0301050814042727
"SCN4A",0.919,0.0301256616746592
"CHI3L1",0.92,0.0301328327484249
"AMY1A",0.946,0.0301334244359197
"CDH15",0.923,0.0301428991386805
"CDC14A",0.834,0.0301624917528807
"SYNGR4",1.104,0.0301626037824329
"NFATC3",0.766,0.0301900542450637
"PNMAL1",0.925,0.0302276353278451
"COL12A1",1.091,0.0302420279280275
"NUCB2",0.796,0.0302529848001919
"SLC16A13",1.243,0.0302988930141151
"C4orf44",0.877,0.030320475947947
"FGA",1.039,0.0303551990343762
"TEF",0.842,0.0303561179472087
"RASSF10",0.918,0.0304032238826503
"C8orf56",0.839,0.0304228219616663
"ZC3H12C",1.22,0.0304276279432616
"SECISBP2",0.704,0.030428272546321
"FANCL",1.259,0.0304314838172319
"ST5",0.803,0.030435883762035
"TMEM158",1.107,0.0304578834863909
"FADS3",0.831,0.030464671844929
"GLOD5",0.899,0.0305360366046352
"SLA",0.873,0.030568345766158
"DUSP5",1.159,0.0305871768462005
"KCNA5",0.892,0.0306043368451017
"MRC1",0.917,0.0306354976234989
"FAM83F",1.068,0.0306543023604836
"RASGRP4",0.881,0.0306644399061363
"RILP",0.825,0.0306958233073358
"RFC3",1.219,0.0306982634313904
"WDR43",1.323,0.0307676506031584
"DBNDD2",0.792,0.0307741251137783
"TBCEL",0.791,0.0307747803220922
"GPN1",1.319,0.0308134402547814
"TRIM10",1.094,0.0308327278779373
"OAS1",1.145,0.0308620694434983
"SOX15",1.1,0.030868752516254
"APOL2",1.228,0.030877776894735
"LRRN3",0.898,0.0308874709930423
"C9orf152",0.918,0.0308878168844655
"APOBEC1",1.069,0.0308958713927888
"PSRC1",1.166,0.0309044537212678
"ASAH1",0.816,0.0309126459980234
"MAGI3",0.847,0.0309261706841023
"HOXC6",1.081,0.0309565568392377
"GNAO1",0.901,0.0309571545547924
"PF4V1",0.879,0.0309684497364483
"FANCB",1.158,0.0309817311759289
"PLEK",0.885,0.0309978556155971
"TBX5",0.886,0.0310074543710158
"CCR5",0.876,0.0310381191989725
"ZDHHC21",0.844,0.0310384456732874
"C1QL1",1.09,0.031044473712768
"C17orf63",1.365,0.0310517868446678
"HOXA7",1.129,0.0310623654307497
"DMTF1",0.777,0.031105443241958
"C20orf200",0.845,0.0311196857994356
"MMP24",0.85,0.0311320186072316
"ITPR2",0.864,0.031176875214515
"WDR83",0.758,0.0312396821062571
"AMBP",0.944,0.0312769853326056
"RBM38",0.801,0.0312881214339999
"CAMK2N1",1.12,0.0312943669289478
"BCL2",0.872,0.0313564893668792
