Candidate Target Genes
Candidate_Targets
BARD1
BORA
CENPA
CENPI
CKS1B
DBF4
DDX11
EXOSC5
FEN1
GMNN
GTF2H4
HMGA1
KIF4A
KRT8
MIS18A
NOL12
PABPC1
PPAT
RPP40
SKA1
SKP2
SPAG5
SPRR1B
STIL
TFRC
TPI1
TRAIP
TTK
TUBA3D
UBE2C

Total number of candidate target genes: 30
